director	genre	name	starring	year
"Jaume Collet-Serra"	"Action-Adventure"	"Run All Night"	"Liam Neeson"	2015
"Olivier Megaton"	"Action-Adventure"	"Búsqueda implacable 3"	"Liam Neeson"	2014
"Jaume Collet-Serra"	"Action-Adventure"	"Non-Stop"	"Liam Neeson"	2014
"Scott Frank"	"Drama"	"A Walk Among the Tombstones"	"Liam Neeson"	2014
"Paul Haggis"	"Drama"	"Amores infieles"	"Liam Neeson"	2013
"Olivier Megaton"	"Action-Adventure"	"Búsqueda implacable 2"	"Liam Neeson"	2012
"Jaume Collet-Serra"	"Action-Adventure"	"Unknown"	"Liam Neeson"	2011
"Joe Carnahan"	"Action-Adventure"	"The Grey"	"Liam Neeson"	2011
"Joe Carnahan"	"Action-Adventure"	"The A-Team"	"Liam Neeson"	2010
"Pierre Morel"	"Action-Adventure"	"Búsqueda implacable"	"Liam Neeson"	2008
"Bill Condon"	"Biography"	"Kinsey"	"Liam Neeson"	2004
"Eric Blakeney"	"Comedy"	"Gun Shy"	"Liam Neeson"	2000
"Bille August"	"Drama"	"Les Misérables"	"Liam Neeson"	1998
"Neil Jordan"	"Biography"	"Michael Collins"	"Liam Neeson"	1996
"Michael Caton-Jones"	"Action-Adventure"	"Rob Roy"	"Liam Neeson"	1995
"John Madden"	"Drama"	"Ethan Frome"	"Liam Neeson"	1993
"Steven Spielberg"	"Biography"	"Schindler's List"	"Liam Neeson"	1993
"Simon Moore"	"Drama"	"Under Suspicion"	"Liam Neeson"	1991
"Sam Raimi"	"Action-Adventure"	"Darkman"	"Liam Neeson"	1990
"Gavin O'Connor"	"Action-Adventure"	"The Accountant"	"Ben Affleck"	2016
"Zack Snyder"	"Action-Adventure"	"Batman v Superman: Dawn of Justice"	"Ben Affleck"	2016
"Ben Affleck"	"Action-Adventure"	"Live by Night"	"Ben Affleck"	2016
"David Fincher"	"Drama"	"Gone Girl"	"Ben Affleck"	2014
"Brad Furman"	"Drama"	"Runner Runner"	"Ben Affleck"	2013
"Ben Affleck"	"Action-Adventure"	"Argo"	"Ben Affleck"	2012
"Terrence Malick"	"Drama"	"To the Wonder"	"Ben Affleck"	2012
"John Wells"	"Drama"	"The Company Men"	"Ben Affleck"	2010
"Ben Affleck"	"Drama"	"The Town"	"Ben Affleck"	2010
"Kevin Smith"	"Comedy"	"Jersey Girl"	"Ben Affleck"	2004
"Mike Mitchell"	"Comedy"	"Surviving Christmas"	"Ben Affleck"	2004
"Mark Steven Johnson"	"Action-Adventure"	"Daredevil"	"Ben Affleck"	2003
"John Woo"	"Action-Adventure"	"Paycheck"	"Ben Affleck"	2003
"Martin Brest"	"Comedy"	"Gigli"	"Ben Affleck"	2003
"Phil Alden Robinson"	"Action-Adventure"	"The Sum of All Fears"	"Ben Affleck"	2002
"Roger Michell"	"Drama"	"Changing Lanes"	"Ben Affleck"	2002
"Michael Bay"	"Action-Adventure"	"Pearl Harbor"	"Ben Affleck"	2001
"John Frankenheimer"	"Action-Adventure"	"Reindeer Games"	"Ben Affleck"	2000
"Don Roos"	"Drama"	"Bounce"	"Ben Affleck"	2000
"Kevin Smith"	"Action-Adventure"	"Dogma"	"Ben Affleck"	1999
"Risa Bramon Garcia"	"Comedy"	"200 Cigarettes"	"Ben Affleck"	1999
"Kevin Smith"	"Comedy"	"Chasing Amy"	"Ben Affleck"	1997
"John Wells"	"Comedy"	"Burnt"	"Bradley Cooper"	2015
"Cameron Crowe"	"Comedy"	"Aloha"	"Bradley Cooper"	2015
"Susanne Bier"	"Drama"	"Serena"	"Bradley Cooper"	2014
"Clint Eastwood"	"Action-Adventure"	"American Sniper"	"Bradley Cooper"	2014
"Todd Phillips"	"Comedy"	"The Hangover Part III"	"Bradley Cooper"	2013
"David O. Russell"	"Comedy"	"Silver Linings Playbook"	"Bradley Cooper"	2012
"Brian Klugman"	"Drama"	"The Words"	"Bradley Cooper"	2012
"Neil Burger"	"Action-Adventure"	"Limitless"	"Bradley Cooper"	2011
"Todd Phillips"	"Comedy"	"The Hangover Part II"	"Bradley Cooper"	2011
"Paul Greengrass"	"Action-Adventure"	"Jason Bourne"	"Matt Damon"	2016
"Yimou Zhang"	"Action-Adventure"	"The Great Wall"	"Matt Damon"	2016
"Ridley Scott"	"Action-Adventure"	"The Martian"	"Matt Damon"	2015
"Neill Blomkamp"	"Action-Adventure"	"Elysium"	"Matt Damon"	2013
"Gus Van Sant"	"Drama"	"Promised Land"	"Matt Damon"	2012
"Cameron Crowe"	"Comedy"	"We Bought a Zoo"	"Matt Damon"	2011
"Steven Soderbergh"	"Drama"	"Contagion"	"Matt Damon"	2011
"Paul Greengrass"	"Action-Adventure"	"Green Zone"	"Matt Damon"	2010
"Clint Eastwood"	"Drama"	"Hereafter"	"Matt Damon"	2010
"Steven Soderbergh"	"Comedy"	"The Informant!"	"Matt Damon"	2009
"Paul Greengrass"	"Action-Adventure"	"The Bourne Ultimatum"	"Matt Damon"	2007
"Robert De Niro"	"Drama"	"The Good Shepherd"	"Matt Damon"	2006
