acidite	chlorides	sucre	sulphates	alcool
9.6	0.079	28.0	71.0	12.5
8.7	0.415	12.0	66.0	12
7.0	0.091	15.0	21.0	12.38
11.9	0.071	5.0	18.0	12.09
10.3	0.047	3.0	8.0	12.16
7.6	0.071	7.0	28.0	12.28
8.8	0.083	25.0	57.0	12.39
7.8	0.114	9.0	29.0	12.26
6.2	0.053	24.0	32.0	12.54
7.2	0.09	43.0	113.0	12.32
6.5	0.063	29.0	44.0	12.38
8.6	0.064	53.0	77.0	12.47
6.9	0.063	35.0	63.0	12.57
9.1	0.078	4.0	14.0	12.29
8.7	0.086	23.0	81.0	12.48
6.1	0.044000000000000004	16.0	70.0	12.46
9.3	0.132	3.0	11.0	12.23
6.6	0.075	12.0	56.0	12.49
11.6	0.091	6.0	28.0	12.07
7.6	0.067	12.0	53.0	12.36
6.0	0.057	15.0	26.0	12.36
8.9	0.17	51.0	148.0	12.17
6.8	0.068	15.0	29.0	12.41
8.9	0.07400000000000001	3.0	10.0	12.12
8.3	0.077	11.0	40.0	12.39
8.2	0.098	3.0	9.0	12.27
8.2	0.06	28.0	65.0	12.3
6.8	0.084	26.0	45.0	12.38
8.9	0.10099999999999999	3.0	10.0	12.21
7.0	0.081	10.0	16.0	12.43
7.9	0.096	21.0	59.0	12.31
10.7	0.125	15.0	49.0	12.03
9.0	0.069	32.0	73.0	12.34
7.5	0.095	25.0	99.0	12.35
6.8	0.075	16.0	49.0	12.36
8.0	0.049	36.0	109.0	11.89
8.9	0.08800000000000001	21.0	39.0	12.33
7.2	0.062	15.0	28.0	12.23
7.2	0.063	11.0	41.0	12.52
10.0	0.085	14.0	33.0	12.36
7.6	0.07	4.0	15.0	12.22
8.2	0.081	27.0	45.0	12.25
8.6	0.096	5.0	18.0	12.2
7.2	0.066	22.0	48.0	12.3
6.6	0.062	21.0	28.0	12.44
7.3	0.062	31.0	54.0	12.3
12.5	0.071	6.0	15.0	11.99
9.9	0.083	11.0	61.0	12.21
6.6	0.068	6.0	14.0	12.39
7.3	0.07200000000000001	17.0	42.0	12.37
5.6	0.040999999999999995	17.0	78.0	12.68
8.8	0.067	10.0	42.0	12.19
8.5	0.079	6.0	12.0	12.52
12.5	0.064	5.0	27.0	12.08
9.8	0.062	3.0	9.0	12.14
7.7	0.11	34.0	89.0	12.24
8.0	0.094	16.0	29.0	12.21
9.9	0.136	24.0	52.0	12.35
8.8	0.11900000000000001	14.0	56.0	12.21
8.4	0.081	32.0	79.0	12.3
6.8	0.07400000000000001	4.0	25.0	12.38
6.2	0.077	6.0	14.0	12.51
7.9	0.076	23.0	94.0	12.21
6.7	0.067	8.0	16.0	12.43
8.6	0.084	12.0	31.0	12.4
8.3	0.11800000000000001	9.0	38.0	12.15
7.3	0.09300000000000001	9.0	15.0	12.35
7.4	0.09	11.0	37.0	12.43
8.1	0.098	25.0	129.0	12.08
7.3	0.07200000000000001	31.0	92.0	12.32
11.0	0.34299999999999997	6.0	18.0	12.3
10.1	0.105	11.0	86.0	12.43
6.2	0.069	3.0	15.0	12.41
5.7	0.063	11.0	18.0	12.45
6.5	0.064	12.0	27.0	12.33
8.3	0.08	27.0	119.0	12.16
8.9	0.087	10.0	47.0	12.38
8.7	0.059000000000000004	11.0	25.0	12.36
7.5	0.092	29.0	53.0	12.37
7.5	0.071	17.0	102.0	12.35
8.8	0.08900000000000001	12.0	74.0	12.14
9.7	0.062	13.0	33.0	12.27
10.6	0.063	18.0	40.0	12.14
7.1	0.068	17.0	31.0	12.35
8.6	0.11699999999999999	31.0	134.0	12.32
8.1	0.084	5.0	13.0	12.37
7.0	0.078	10.0	23.0	12.53
10.2	0.054000000000000006	6.0	17.0	12.17
6.1	0.066	40.5	165.0	12.25
7.5	0.079	24.0	58.0	12.34
10.4	0.066	6.0	10.0	12.33
10.7	0.066	29.0	56.0	12.15
13.3	0.084	23.0	43.0	12.04
5.8	0.087	21.0	94.0	12.54
8.0	0.08900000000000001	12.0	32.0	12.36
10.4	0.076	22.0	54.0	12.15
5.6	0.049	5.0	13.0	12.72
10.2	0.081	6.0	9.0	12.1
6.7	0.077	18.0	34.0	12.39
12.1	0.092	15.0	54.0	12.03
6.8	0.11800000000000001	13.0	20.0	12.42
7.1	0.091	9.0	14.0	12.42
7.6	0.087	21.0	68.0	12.12
11.6	0.059000000000000004	5.0	15.0	12.21
8.8	0.065	7.0	18.0	12.32
8.8	0.055	13.0	27.0	12.14
9.2	0.091	12.0	48.0	12.31
11.1	0.095	21.0	101.0	12.13
8.9	0.067	25.0	57.0	12.18
7.8	0.068	11.0	35.0	12.34
6.4	0.067	4.0	11.0	12.46
8.7	0.415	12.0	66.0	12
7.9	0.08	33.0	141.0	12.25
5.9	0.062	39.0	51.0	12.52
6.5	0.063	29.0	44.0	12.38
6.6	0.08199999999999999	5.0	16.0	12.5
6.6	0.079	6.0	12.0	12.52
6.8	0.08900000000000001	11.0	44.0	12.47
9.3	0.09	25.0	87.0	12.24
9.4	0.084	25.0	48.0	12.14
10.5	0.075	14.0	27.0	12.06
7.9	0.073	46.0	102.0	12.27
6.3	0.066	3.0	20.0	12.34
7.1	0.07400000000000001	16.0	34.0	12.47
6.1	0.077	24.0	45.0	12.6
6.1	0.069	11.0	25.0	12.42
7.0	0.091	15.0	21.0	12.38
6.1	0.053	13.0	27.0	12.57
11.8	0.09300000000000001	54.0	80.0	12.3
8.2	0.07400000000000001	29.0	48.0	12.32
6.5	0.067	8.0	44.0	12.21
7.9	0.076	23.0	94.0	12.21
7.0	0.076	8.0	24.0	12.48
5.9	0.045	57.0	135.0	12.32
5.2	0.054000000000000006	19.0	106.0	12.54
6.7	0.079	8.0	62.0	12.52
7.6	0.08199999999999999	26.0	35.0	12.22
12.4	0.073	19.0	43.0	12.02
12.3	0.08900000000000001	5.0	14.0	12.19
7.6	0.07400000000000001	27.0	85.0	12.41
7.1	0.079	24.0	37.0	12.4
10.6	0.065	5.0	18.0	12.21
6.4	0.07400000000000001	21.0	49.0	12.57
8.6	0.1	7.0	27.0	12.2
8.2	0.067	4.0	12.0	12.3
8.3	0.08900000000000001	17.0	40.0	12.29
7.4	0.076	11.0	34.0	12.51
6.9	0.079	21.0	51.0	12.47
6.4	0.23	19.0	35.0	12.37
10.9	0.11800000000000001	10.0	17.0	12.07
9.1	0.067	6.0	10.0	12.23
7.4	0.083	17.0	91.0	12.29
7.4	0.064	7.0	11.0	12.45
8.1	0.096	26.0	61.0	12.6
7.7	0.066	15.0	58.0	12.37
6.5	0.073	13.0	38.0	12.34
11.5	0.077	8.0	20.0	12.09
7.1	0.08	27.0	43.0	12.42
6.9	0.077	7.0	27.0	12.69
9.2	0.61	32.0	69.0	11.74
8.4	0.105	16.0	44.0	12.13
11.1	0.068	7.0	15.0	12.22
7.0	0.077	25.0	42.0	12.34
10.1	0.10400000000000001	6.0	13.0	12.22
7.8	0.075	8.0	22.0	12.31
6.3	0.07200000000000001	26.0	52.0	12.51
7.2	0.077	7.0	28.0	12.35
12.8	0.095	9.0	28.0	12.2
7.6	0.079	5.0	10.0	12.39
7.3	0.07400000000000001	12.0	87.0	12.33
7.1	0.083	18.0	27.0	12.44
8.9	0.052000000000000005	13.0	27.0	12.32
8.3	0.11800000000000001	9.0	38.0	12.15
10.7	0.11199999999999999	23.0	99.0	12.22
6.7	0.077	18.0	34.0	12.39
6.5	0.095	48.0	59.0	12.61
8.0	0.067	22.0	50.0	12.38
8.8	0.11900000000000001	14.0	56.0	12.21
7.4	0.068	24.0	42.0	12.42
7.4	0.08800000000000001	16.0	32.0	12.58
8.9	0.337	27.0	81.0	12.04
10.2	0.052000000000000005	5.0	9.0	12.2
5.6	0.049	17.0	99.0	12.63
8.1	0.08	13.0	35.0	12.3
8.4	0.109	31.0	119.0	12.15
8.4	0.07200000000000001	38.0	46.0	12.38
8.8	0.073	7.0	13.0	12.3
13.4	0.08199999999999999	6.0	21.0	12.16
6.2	0.073	7.0	11.0	12.61
11.5	0.067	12.0	27.0	12.11
6.9	0.073	40.0	83.0	12.45
8.9	0.095	5.0	22.0	12.37
8.6	0.11	20.0	136.0	11.93
7.2	0.081	13.0	45.0	12.48
6.2	0.065	8.0	18.0	12.56
7.1	0.08	35.0	70.0	12.44
7.6	0.071	7.0	28.0	12.28
6.4	0.081	14.0	31.0	12.59
9.3	0.07400000000000001	27.0	65.0	12.28
15.0	0.075	10.0	24.0	12.07
10.4	0.066	6.0	10.0	12.33
11.6	0.091	6.0	28.0	12.07
10.2	0.068	41.0	54.0	12.38
6.6	0.07	23.0	149.0	12.12
9.6	0.081	25.0	52.0	12.2
7.4	0.114	7.0	20.0	12.32
7.1	0.039	8.0	18.0	12.39
8.3	0.08	11.0	27.0	12.21
5.4	0.092	23.0	55.0	13.02
5.2	0.09	23.0	74.0	12.71
8.7	0.126	24.0	64.0	12.1
7.1	0.076	21.0	92.0	12.5
7.1	0.087	17.0	26.0	12.45
6.4	0.061	11.0	17.0	12.53
8.0	0.075	10.0	48.0	12.34
11.5	0.10400000000000001	4.0	23.0	12.28
7.2	0.077	15.0	85.0	12.51
8.7	0.09699999999999999	7.0	31.0	12.27
6.0	0.05	38.0	89.0	12.3
9.1	0.114	3.0	9.0	12.18
10.0	0.083	42.0	74.0	11.98
6.4	0.071	27.0	58.0	12.61
6.3	0.10300000000000001	32.0	54.0	12.51
12.6	0.08	8.0	20.0	12.07
7.6	0.066	27.0	55.0	12.39
7.8	0.467	18.0	69.0	12.08
7.7	0.062	18.0	34.0	12.28
7.7	0.14300000000000002	7.0	23.0	12.35
7.2	0.07400000000000001	24.0	44.0	12.4
7.1	0.075	16.0	51.0	12.38
11.9	0.08199999999999999	6.0	32.0	12.12
7.7	0.077	32.0	133.0	12.27
8.6	0.068	6.0	12.0	12.35
10.4	0.091	18.0	48.0	12.22
11.5	0.10400000000000001	4.0	23.0	12.28
8.0	0.098	6.0	15.0	12.3
9.2	0.078	10.0	21.0	12.15
8.8	0.076	12.0	21.0	12.21
10.7	0.107	17.0	34.0	12.28
6.6	0.069	19.0	40.0	12.38
6.9	0.07400000000000001	16.0	65.0	12.53
8.0	0.066	21.0	114.0	12.22
7.6	0.071	10.0	14.0	12.51
9.5	0.08199999999999999	23.0	144.0	12.27
6.8	0.07200000000000001	32.0	64.0	12.43
6.9	0.061	12.0	31.0	12.51
7.4	0.09699999999999999	5.0	14.0	12.63
9.5	0.077	6.0	32.0	12.26
11.6	0.121	6.0	14.0	12.05
11.1	0.064	14.0	19.0	12.25
7.7	0.039	4.0	9.0	12.4
7.7	0.611	8.0	45.0	12.06
14.0	0.08900000000000001	6.0	47.0	12.01
9.2	0.083	14.0	23.0	12.35
7.6	0.086	14.0	57.0	12.37
8.3	0.078	17.0	43.0	12.31
8.8	0.067	10.0	42.0	12.19
8.7	0.096	17.0	69.0	12.26
5.6	0.07400000000000001	12.0	96.0	12.32
6.4	0.054000000000000006	34.0	64.0	12.41
7.9	0.066	14.0	36.0	12.41
11.7	0.073	7.0	23.0	12.21
10.8	0.073	5.0	27.0	12.05
11.5	0.087	13.0	49.0	12.18
8.1	0.084	18.0	49.0	12.43
9.8	0.083	21.0	59.0	12.37
8.8	0.07400000000000001	4.0	23.0	12.15
6.6	0.064	13.0	29.0	12.42
11.5	0.10400000000000001	4.0	23.0	12.28
10.1	0.075	9.0	28.0	12.24
7.7	0.062	9.0	31.0	12.39
7.9	0.077	18.0	45.0	12.29
7.7	0.11199999999999999	11.0	22.0	12.26
7.9	0.084	15.0	143.0	12.2
6.7	0.078	6.0	12.0	12.55
6.3	0.076	29.0	40.0	12.42
11.3	0.08800000000000001	6.0	16.0	12.09
8.2	0.073	25.0	60.0	12.29
7.8	0.076	17.0	54.0	12.43
6.8	0.07	16.0	61.0	12.29
7.7	0.102	28.0	109.0	12.08
8.5	0.066	26.0	51.0	12.38
6.9	0.098	5.0	16.0	12.41
8.5	0.057999999999999996	18.0	38.0	12.16
11.1	0.06	3.0	10.0	12.02
10.4	0.105	5.0	19.0	12.25
6.0	0.066	9.0	17.0	12.52
7.0	0.067	9.0	23.0	12.47
6.2	0.06	6.0	13.0	12.59
7.8	0.079	6.0	18.0	12.29
