	Marque	ErgonomieDesign	Ecran	Photo	Audio	Autonomie	Prix
"Samsung Galaxy Note 9"	"Samsung"	"A"	"A"	"A"	"A"	"B"	"D"
"Apple iPhone X"	"Apple"	"A"	"A"	"B"	"B"	"A"	"D"
"Honor 8X"	"Huawei"	"B"	"B"	"C"	"B"	"A"	"C"
"Honor Play"	"Huawei"	"B"	"B"	"B"	"B"	"B"	"C"
"Xiaomi Redmi Note 5"	"Xiaomi"	"C"	"B"	"C"	"B"	"A"	"B"
"Apple iPhone XR"	"Apple"	"B"	"B"	"A"	"D"	"A"	"D"
"Apple iPhone XS"	"Apple"	"A"	"A"	"A"	"D"	"A"	"D"
"Apple iPhone XS Max"	"Apple"	"B"	"A"	"A"	"D"	"A"	"D"
"Xiaomi Redmi Note 6 Pro"	"Xiaomi"	"B"	"B"	"C"	"A"	"A"	"B"
"Huawei P Smart 2019"	"Huawei"	"B"	"B"	"C"	"C"	"A"	"B"
"Huawei P Smart+"	"Huawei"	"B"	"B"	"C"	"C"	"A"	"C"
"Xiaomi Mi Max 3"	"Xiaomi"	"B"	"B"	"C"	"C"	"A"	"C"
"Samsung Galaxy A7 (2018)"	"Samsung"	"C"	"A"	"C"	"B"	"A"	"C"
"Nokia 7 Plus"	"Nokia"	"C"	"B"	"B"	"B"	"B"	"C"
"Apple iPhone 7"	"Apple"	"B"	"B"	"B"	"A"	"B"	"C"
"Huawei Mate 20 Lite"	"Huawei"	"B"	"B"	"C"	"C"	"A"	"C"
"Samsung Galaxy A8 (2018)"	"Samsung"	"B"	"A"	"C"	"B"	"A"	"C"
"Samsung Galaxy S7"	"Samsung"	"B"	"A"	"B"	"B"	"B"	"C"
"Honor 10"	"Huawei"	"B"	"B"	"B"	"C"	"A"	"C"
"Xiaomi Mi Mix 2S"	"Xiaomi"	"C"	"B"	"A"	"B"	"B"	"C"
"Samsung Galaxy S7 edge"	"Samsung"	"B"	"A"	"B"	"B"	"B"	"C"
"Xiaomi Black Shark"	"Xiaomi"	"C"	"B"	"B"	"B"	"B"	"C"
"Xiaomi Mi 8"	"Xiaomi"	"B"	"A"	"B"	"B"	"C"	"C"
"Nokia Nokia 8.1"	"Nokia"	"B"	"B"	"C"	"B"	"A"	"C"
"Samsung Galaxy A9 (2018)"	"Samsung"	"B"	"A"	"C"	"B"	"A"	"D"
"Apple iPhone 7 Plus"	"Apple"	"B"	"B"	"B"	"A"	"B"	"D"
"Samsung Galaxy Note 8"	"Samsung"	"B"	"A"	"B"	"A"	"C"	"D"
"Samsung Galaxy S8+"	"Samsung"	"B"	"A"	"B"	"B"	"B"	"D"
"Samsung Galaxy S8"	"Samsung"	"B"	"A"	"B"	"B"	"B"	"D"
"Xiaomi Mi Mix 3"	"Xiaomi"	"B"	"A"	"C"	"D"	"A"	"D"
"Huawei Mate 10 Pro"	"Huawei"	"A"	"A"	"C"	"C"	"B"	"D"
"Xiaomi Mi 8 Pro"	"Xiaomi"	"B"	"A"	"B"	"C"	"B"	"D"
"Honor View 10"	"Huawei"	"B"	"B"	"A"	"C"	"B"	"D"
"Samsung Galaxy S9"	"Samsung"	"A"	"A"	"B"	"B"	"C"	"D"
"Huawei P20 Pro"	"Huawei"	"A"	"A"	"B"	"B"	"B"	"D"
