    formule	elastic	hydrat	rides	satisfaction
1	3.29	1.82	0.046	7
2	2.99	1.45	0.086	6
2	2.87	1.39	0.120	6
2	2.57	1.24	0.092	5
2	2.93	1.58	0.069	6
1	2.32	1.19	0.087	5
2	2.39	1.18	0.100	4
1	2.26	1.14	0.100	4
2	2.5	    1.26	0.120	5
1	1.77	1.13	0.103	3
2	2.46	1.28	0.086	5
1	2.99	1.53	0.077	7
1	1.73	0.86	0.105	4
2	2.71	1.28	0.097	4
2	2.59	1.26	0.095	5
1	2.34	1.32	0.077	6
2	2.76	1.35	0.093	5
1	2.21	1.22	0.083	6
1	2.72	1.38	0.080	6
1	1.97	1.1	    0.091	5
1	2.93	1.55	0.054	6
1	2.37	1.31	0.093	5
1	2.41	1.32	0.079	6
2	2.61	1.31	0.106	4
1	2.88	1.52	0.072	6
1	2.81	1.39	0.078	6
2	2.6	    1.39	0.085	5
2	3.29	1.47	0.065	6
1	3.05	1.45	0.060	5
1	3.24	1.49	0.078	6
2	3.21	1.69	0.065	6
2	2.05	1.08	0.107	3
