genre	groupe	age	experience	participation	participationSpecialite
"Vincent Ledoux"	0	h_AGIR	55	6	0.11	0.12
"Philippe Huppé"	0	h_AGIR	54	5	0.12	0.15
"M'jid El Guerrab"	0	h_AGIR	39	5	0.15	0.15
"Jean-Charles Larsonneur"	0	h_AGIR	38	5	0.08	0.16
"Antoine Herth"	0	h_AGIR	59	20	0.14	0.22
"Maina Sage"	1	h_AGIR	46	8	0.15	0.26
"Pierre-Yves Bournazel"	0	h_AGIR	44	5	0.16	0.27
"Valérie Petit"	1	h_AGIR	45	5	0.14	0.29
"Christophe Euzet"	0	h_AGIR	55	5	0.15	0.29
"Alexandra Louis"	1	h_AGIR	38	5	0.18	0.39
"Thomas Gassilloud"	0	h_AGIR	40	5	0.09	0.42
"Olivier Becht"	0	h_AGIR	46	5	0.13	0.42
"Dimitri Houbron"	0	h_AGIR	31	5	0.19	0.43
"Aina Kuric"	1	h_AGIR	34	5	0.21	0.44
"Loïc Kervran"	0	h_AGIR	38	5	0.10	0.52
"Agnès Firmin Le Bodo"	1	h_AGIR	53	5	0.24	0.52
"Patricia Lemoine"	1	h_AGIR	60	3	0.31	0.55
"Annie Chapelier"	1	h_AGIR	54	5	0.24	0.57
"Lise Magnier"	1	h_AGIR	37	5	0.27	0.57
"Benoit Potterie"	0	h_AGIR	54	5	0.28	0.63
"Paul Christophe"	0	h_AGIR	51	5	0.28	0.67
"Luc Lamirault"	0	h_AGIR	59	1	0.22	0.87
"Max Mathiasin"	0	g_MoDem	66	5	0.07	0.06
"Sandrine Josso"	1	g_MoDem	46	5	0.10	0.08
"Jean-Luc Lagleize"	0	g_MoDem	63	5	0.08	0.11
"Pascale Fontenel-Personne"	1	g_MoDem	59	5	0.11	0.11
"Patrick Mignola"	0	g_MoDem	50	5	0.19	0.11
"Philippe Berta"	0	g_MoDem	62	5	0.15	0.16
"Sabine Thillaye"	1	g_MoDem	62	5	0.11	0.19
"Luc Geismar"	0	g_MoDem	55	2	0.19	0.19
"Philippe Latombe"	0	g_MoDem	47	5	0.11	0.21
"François Pupponi"	0	g_MoDem	59	14	0.11	0.23
"Marguerite Deprez-Audebert"	1	g_MoDem	69	5	0.20	0.23
"Philippe Vigier"	0	g_MoDem	64	15	0.20	0.24
"Jean-Louis Bourlanges"	0	g_MoDem	75	5	0.10	0.26
"Philippe Bolo"	0	g_MoDem	55	5	0.18	0.26
"Vincent Bru"	0	g_MoDem	67	5	0.15	0.28
"Michèle Crouzet"	1	g_MoDem	54	5	0.21	0.28
"Laurence Vichnievsky"	1	g_MoDem	67	5	0.12	0.29
"Richard Ramos"	0	g_MoDem	54	5	0.11	0.30
"Frédérique Tuffnell"	1	g_MoDem	65	5	0.18	0.30
"Patrick Loiseau"	0	g_MoDem	61	3	0.20	0.30
"Blandine Brocard"	1	g_MoDem	40	5	0.22	0.32
"Justine Benin"	1	g_MoDem	47	5	0.13	0.33
"Jean-Noël Barrot"	0	g_MoDem	38	5	0.14	0.33
"Bruno Duvergé"	0	g_MoDem	65	5	0.16	0.33
"Nicolas Turquois"	0	g_MoDem	49	5	0.27	0.33
"Aude Luquet"	1	g_MoDem	54	5	0.17	0.34
"Élodie Jacquier-Laforge"	1	g_MoDem	44	5	0.15	0.35
"Mohamed Laqhila"	0	g_MoDem	62	5	0.18	0.35
"Brahim Hammouche"	0	g_MoDem	50	5	0.25	0.36
"Yolaine de Courson"	1	g_MoDem	67	5	0.14	0.37
"Cyrille Isaac-Sibille"	0	g_MoDem	64	5	0.18	0.38
"Géraldine Bannier"	1	g_MoDem	42	5	0.26	0.38
"Michel Fanget"	0	g_MoDem	71	5	0.05	0.39
"Sylvain Waserman"	0	g_MoDem	54	5	0.15	0.41
"Florence Lasserre"	1	g_MoDem	47	5	0.16	0.42
"Christophe Jerretie"	0	g_MoDem	42	5	0.16	0.43
"Bruno Joncour"	0	g_MoDem	68	5	0.09	0.45
"Philippe Michel-Kleisbauer"	0	g_MoDem	53	5	0.24	0.45
"Maud Gatel"	1	g_MoDem	43	1	0.28	0.45
"Nadia Essayan"	1	g_MoDem	64	5	0.17	0.46
"Bruno Fuchs"	0	g_MoDem	63	5	0.18	0.46
"Jean-Paul Mattei"	0	g_MoDem	68	5	0.27	0.46
"Nathalie Elimas"	1	g_MoDem	48	3	0.27	0.49
"Fabien Lainé"	0	g_MoDem	46	5	0.10	0.51
"Perrine Goulet"	1	g_MoDem	44	5	0.25	0.52
"Erwan Balanant"	0	g_MoDem	51	5	0.24	0.53
"Jimmy Pahun"	0	g_MoDem	59	5	0.25	0.56
"Frédéric Petit"	0	g_MoDem	61	5	0.23	0.57
"Jean-Pierre Cubertafon"	0	g_MoDem	74	5	0.15	0.61
"Bruno Millienne"	0	g_MoDem	62	5	0.34	0.62
"Christophe Blanchet"	0	g_MoDem	49	5	0.31	0.64
"Isabelle Florennes"	1	g_MoDem	54	5	0.32	0.64
"Maud Petit"	1	g_MoDem	50	5	0.26	0.70
"Sophie Mette"	1	g_MoDem	62	5	0.28	0.74
"Michèle de Vaucouleurs"	1	g_MoDem	58	5	0.37	0.75
"Josy Poueyto"	1	g_MoDem	68	5	0.16	0.77
"François Ruffin"	0	b_LFI	46	5	0.16	0.19
"Mathilde Panot"	1	b_LFI	33	5	0.29	0.20
"Muriel Ressiguier"	1	b_LFI	44	5	0.13	0.22
"Adrien Quatennens"	0	b_LFI	31	5	0.17	0.27
"Jean-Luc Mélenchon"	0	b_LFI	70	5	0.23	0.27
"Jean-Hugues Ratenon"	0	b_LFI	54	5	0.18	0.28
"Bénédicte Taurine"	1	b_LFI	45	5	0.20	0.28
"Loïc Prud'homme"	0	b_LFI	52	5	0.23	0.31
